# 163
# time lon lat ele hdop vdop speed direction journey journey3
1494416018.000000 113.89813853 22.95211270 34.20766830 7.55538654 3.26653028 1.49744689 2.63743806 303.14236384 305.45677225
1494416019.000000 113.89812705 22.95211983 34.35343170 5.88351011 3.25326014 1.55402112 2.77568436 304.55926352 306.88114989
1494416020.000000 113.89811100 22.95212705 34.50167465 4.13705921 3.20180559 1.93257260 2.69657660 306.38953102 308.71741106
1494416021.000000 113.89809257 22.95213456 34.71058655 4.38360167 2.89767313 2.10727572 2.69410419 308.45496106 310.79337961
1494416022.000000 113.89807202 22.95214242 34.95861816 4.19893599 2.75905633 2.22593069 2.69457436 310.73557347 313.08743991
1494416023.000000 113.89805005 22.95215103 35.22770309 3.95888829 2.56959891 2.30467892 2.71042752 313.18194787 315.54856860
1494416024.000000 113.89802644 22.95216213 35.49319839 3.21359015 2.38848042 2.40002894 2.70888877 315.89693519 318.27650626
1494416025.000000 113.89800187 22.95217348 35.74181747 2.97520947 2.13394332 2.52605176 2.68904543 318.71322344 321.10374713
1494416026.000000 113.89797636 22.95218506 35.96197510 2.73040795 1.96042132 2.68312216 2.68067122 321.62725417 324.02608259
1494416027.000000 113.89795004 22.95219536 35.99509811 2.64823031 1.81565845 2.73272610 2.71074557 324.55739111 326.95640673
1494416028.000000 113.89792312 22.95220598 35.93931961 2.70481491 1.70514226 2.71925998 2.74580503 327.55839984 329.95793379
1494416029.000000 113.89789614 22.95221672 35.82528687 2.71774173 1.86131859 2.66929722 2.76927948 330.57052694 332.97221863
1494416030.000000 113.89786927 22.95222356 35.69379807 2.82257318 1.99771178 2.61118340 2.80937767 333.42771135 335.83242702
1494416031.000000 113.89784714 22.95222418 35.51313019 2.93253517 1.79611385 2.41439867 2.87303472 335.69924891 338.11113801
1494416032.000000 113.89782684 22.95222487 35.40774918 2.63523316 1.64807749 2.25364828 2.93752241 337.78274942 340.19730184
1494416033.000000 113.89780969 22.95222417 35.44027328 2.55684829 1.52673995 2.14545059 2.97891736 339.54305733 341.95791019
1494416034.000000 113.89779303 22.95222254 35.47281265 2.53605986 1.43664861 2.05524802 3.01947427 341.26068304 343.67584410
1494416035.000000 113.89777835 22.95222025 35.50551605 1.59757876 1.36616015 1.97116971 3.05655646 342.78827129 345.20378237
1494416036.000000 113.89776652 22.95221198 35.53860092 0.59097409 1.21037507 0.00000000 3.11031866 344.30814760 346.72401873
1494416155.000000 113.89772766 22.95218936 42.30287552 7.76271105 3.33091044 2.89885020 3.09859776 349.01562912 354.96512261
1494416156.000000 113.89770087 22.95219133 42.12843323 6.04579496 3.30506468 3.05013275 3.10510731 351.77214759 357.72715523
1494416157.000000 113.89767139 22.95219336 41.88376617 4.67602444 3.24984550 3.15794969 3.10338831 354.80343268 360.76829831
1494416158.000000 113.89764040 22.95219510 41.56334305 3.96384096 3.00384212 3.19873643 3.02291322 357.98768863 363.96863532
1494416159.000000 113.89760817 22.95219689 41.24998856 3.55262995 2.73470211 3.21861339 3.02503705 361.29874382 367.29448521
1494416160.000000 113.89757549 22.95220059 40.93657684 3.47240138 2.50006104 3.23940349 3.02035975 364.67568142 370.68593541
1494416161.000000 113.89754315 22.95220562 40.62314224 3.34678864 2.28417301 3.25309920 3.01265073 368.03933744 374.06416321
1494416162.000000 113.89751159 22.95221240 40.30967331 2.39217782 1.75970304 0.00000000 3.00255322 371.36184641 377.40142685
1494416164.000000 113.89742887 22.95228726 38.89427567 7.65125370 3.28795838 3.82223010 2.53038669 383.22356979 389.34729778
1494416165.000000 113.89739752 22.95230717 38.57695770 5.76572371 3.30342174 3.60254359 2.56625152 387.12183495 393.25845642
1494416166.000000 113.89736784 22.95232556 38.06462097 4.42431641 3.17438936 3.46351862 2.61409760 390.78384014 396.95612744
1494416167.000000 113.89733896 22.95234251 37.47743988 3.75655103 2.90813041 3.45465136 2.61393738 394.29078688 400.51189136
1494416168.000000 113.89731036 22.95235693 36.89009857 3.46376824 2.63849711 3.43257880 2.61990070 397.63095616 403.90330708
1494416169.000000 113.89728228 22.95236997 36.30259323 3.24292493 2.45788431 3.40661097 2.62702918 400.85263407 407.17811564
1494416170.000000 113.89725366 22.95238291 35.71508026 2.20237780 1.85287392 0.00000000 2.63284016 404.11865249 410.49655621
1494416172.000000 113.89722742 22.95239289 36.15338135 7.54928780 3.05470514 3.42270803 3.12017775 407.02787615 413.43861164
1494416173.000000 113.89719415 22.95239293 35.33348083 5.18496466 3.05484867 3.65108466 3.15982580 410.43985126 416.94771565
1494416174.000000 113.89715692 22.95239186 34.54528046 2.06666327 2.88380289 3.95243907 3.24052477 414.26018189 420.84850864
1494416175.000000 113.89712511 22.95239561 33.79981613 1.81085837 2.59332824 3.96999073 3.26298761 417.54856675 424.22033189
1494416176.000000 113.89709383 22.95239551 33.04543686 1.68702972 2.34283185 3.92925382 3.27666235 420.75742595 427.51667312
1494416177.000000 113.89705019 22.95238972 32.28496552 1.64443386 2.11760235 3.94237614 3.29154086 425.27817719 432.10094061
1494416178.000000 113.89699885 22.95237142 31.67122269 1.61725271 1.94140708 4.04236746 3.33722091 430.92006729 437.77611498
1494416179.000000 113.89695565 22.95235656 30.95874977 1.60136795 1.80038941 4.03731728 3.37233949 435.64713106 442.55656994
1494416180.000000 113.89691905 22.95234655 30.27485275 1.62054348 1.68495095 3.85671163 3.39673424 439.56061780 446.52936412
1494416181.000000 113.89689077 22.95234007 29.61858940 1.61434484 1.66007257 3.56674528 3.40684080 442.54817831 449.58815463
1494416182.000000 113.89686888 22.95232720 28.92410088 2.24955225 1.61954296 3.40074921 3.43608499 445.20717023 452.33634537
1494416183.000000 113.89684519 22.95231589 28.22936249 2.56191087 1.56262362 3.28251553 3.45377684 447.94058483 455.15666748
1494416184.000000 113.89682417 22.95230684 27.53467751 2.56292295 1.50727713 3.16855431 3.46327448 450.31889304 457.63435534
1494416185.000000 113.89680172 22.95229955 26.83997536 2.55439687 1.45501852 0.00000000 3.46449685 452.75846031 460.17090803
1494416303.000000 113.89679307 22.95212518 29.63166809 7.55538654 3.22378922 2.54625392 -1.56301522 472.08915320 479.70214547
1494416304.000000 113.89679334 22.95210390 29.50142670 6.12364388 3.21823597 2.74172020 -1.60287607 474.44612475 482.06271271
1494416305.000000 113.89679204 22.95207957 29.32176590 4.69766378 3.11924124 2.67065358 -1.91451216 477.14380158 484.76636549
1494416306.000000 113.89678670 22.95205536 29.24572945 3.98282409 2.85399127 2.62717056 -1.92160809 479.87927948 487.50289995
1494416307.000000 113.89677828 22.95203216 29.16721344 3.40285921 2.58415461 2.64502406 -1.93242335 482.58999664 490.21475398
1494416308.000000 113.89676512 22.95200993 29.08893394 14.61513329 6.40713644 2.66036439 -1.96601284 485.39805351 493.02390173
1494416316.000000 113.89653318 22.95188334 28.50000000 4.10230017 0.14039743 4.52836466 -1.08448136 513.00949779 520.64162608
1494416317.000000 113.89655005 22.95185168 28.44502068 2.90052271 0.27182853 4.89412260 -1.02829230 516.91971619 524.55223098
1494416318.000000 113.89658278 22.95180626 28.39011192 3.37824726 0.40167016 5.06086349 -0.99457049 522.96679120 530.59955527
1494416319.000000 113.89660806 22.95176559 28.33523369 1.87141335 0.52743942 0.00000000 -0.99234378 528.16373941 535.79679322
1494416329.000000 113.89693525 22.95144935 30.66001129 7.77318430 6.75486374 5.08439207 -1.91525388 576.66607013 584.35480673
1494416330.000000 113.89691710 22.95140430 31.30176926 6.79814863 5.37823439 4.78517294 -1.92764044 581.99153262 589.71879816
1494416331.000000 113.89690174 22.95136399 32.05770874 5.32591677 5.17296314 4.30997944 -1.91061044 586.72557993 594.51282031
1494416332.000000 113.89688711 22.95132635 32.84154129 4.75890017 5.16692638 4.04469061 -1.87481534 591.15536658 599.01142046
1494416333.000000 113.89687343 22.95129111 33.57999802 3.78540301 4.80867863 3.69966745 -1.84171951 595.30286993 603.22415145
1494416334.000000 113.89686175 22.95125865 34.29476166 3.41495848 4.42669916 3.32195354 -1.80368626 599.09130098 607.07942016
1494416335.000000 113.89685316 22.95122931 34.98414612 1.72360492 4.14310074 2.91649961 -1.77075326 602.45745354 610.51544024
1494416336.000000 113.89685618 22.95120855 35.62676620 1.77078474 3.90771317 2.48586392 -1.71152008 604.77738114 612.92272599
1494416337.000000 113.89686385 22.95119726 35.69373322 1.75473726 3.76889658 2.03132629 -1.63772392 606.25498423 614.40184581
1494416338.000000 113.89687499 22.95119480 36.23300934 1.74203098 3.62251711 1.69472790 -1.54858410 607.42913238 615.69391494
1494416339.000000 113.89688386 22.95119933 36.77219391 1.73384273 3.47870898 1.38127840 -1.46448898 608.46791450 616.86429448
1494416340.000000 113.89688980 22.95120317 37.31129456 1.61843526 3.34243774 1.15865302 -1.39601767 609.21064266 617.78204970
1494416341.000000 113.89689459 22.95120869 37.85032272 1.61492491 2.30985355 0.00000000 -1.33653188 609.99517613 618.73391320
